,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,BCV53_00005,AOT13_00075,92.18799999999999,192,15,0,2,193,199,390,8.099999999999998e-127,361.0,231,0.8311688311688312,->
8,BCV53_00010,AOT13_19020,100.0,313,0,0,1,313,175,487,0.0,638.0,313,1.0,->
26,BCV53_00015,AOT13_19025,97.917,144,3,0,1,144,1,144,8.219999999999998e-105,301.0,255,0.5647058823529412,->
29,BCV53_00020,AOT13_19030,100.0,79,0,0,1,79,1,79,5.649999999999999e-51,167.0,314,0.2515923566878981,->
30,BCV53_00025,AOT13_19035,100.0,86,0,0,1,86,1,86,9.709999999999999e-61,176.0,86,1.0,->
32,BCV53_00030,AOT13_19040,100.0,163,0,0,1,163,1,163,2.189999999999999e-121,335.0,163,1.0,->
35,BCV53_00035,AOT13_00030,100.0,393,0,0,1,393,1,393,0.0,775.0,393,1.0,<=>
47,BCV53_00040,AOT13_00035,100.0,428,0,0,1,428,1,428,0.0,834.0,428,1.0,<=>
49,BCV53_00045,AOT13_19055,100.0,62,0,0,1,62,1,62,8.45e-42,126.0,62,1.0,->
52,BCV53_00050,AOT13_00045,100.0,332,0,0,1,332,1,332,0.0,676.0,332,1.0,<=>
53,BCV53_00055,AOT13_00050,100.0,135,0,0,1,135,1,135,1.0899999999999997e-98,276.0,135,1.0,<=>
55,BCV53_00060,AOT13_00055,100.0,450,0,0,1,450,1,450,0.0,920.0,450,1.0,<=>
57,BCV53_00065,AOT13_19075,100.0,388,0,0,1,388,1,388,0.0,801.0,388,1.0,->
67,BCV53_00070,AOT13_19080,100.0,78,0,0,1,78,1,78,6.07e-51,150.0,78,1.0,->
69,BCV53_00075,AOT13_19085,100.0,122,0,0,1,122,1,122,4.679999999999998e-87,245.0,122,1.0,->
78,BCV53_00080,AOT13_00075,100.0,391,0,0,1,391,1,391,0.0,802.0,391,1.0,<=>
91,BCV53_00085,AOT13_00080,100.0,167,0,0,1,167,1,167,1.1799999999999996e-120,334.0,167,1.0,<=>
94,BCV53_00090,AOT13_00085,100.0,83,0,0,6,88,1,83,5.009999999999999e-60,174.0,88,0.9431818181818182,<=>
95,BCV53_00095,AOT13_00090,100.0,387,0,0,1,387,1,387,0.0,799.0,387,1.0,<=>
102,BCV53_00100,AOT13_00095,100.0,175,0,0,1,175,1,175,3.2199999999999996e-127,351.0,175,1.0,<=>
103,BCV53_00105,AOT13_00100,100.0,68,0,0,1,68,1,68,2.46e-45,136.0,68,1.0,<=>
104,BCV53_00110,AOT13_00105,100.0,220,0,0,1,220,1,220,2.279999999999999e-168,459.0,220,1.0,<=>
106,BCV53_00115,AOT13_00110,100.0,443,0,0,1,443,1,443,0.0,875.0,443,1.0,<=>
107,BCV53_00120,AOT13_00115,100.0,203,0,0,1,203,1,203,5.439999999999998e-146,401.0,203,1.0,<=>
109,BCV53_00125,AOT13_00120,100.0,333,0,0,1,333,1,333,0.0,654.0,333,1.0,<=>
110,BCV53_00130,AOT13_00125,100.0,207,0,0,1,207,1,207,1.0399999999999997e-151,416.0,207,1.0,<=>
111,BCV53_00135,AOT13_00130,100.0,498,0,0,1,498,1,498,0.0,1013.0,498,1.0,<=>
112,BCV53_00140,AOT13_00135,100.0,271,0,0,1,271,1,271,0.0,551.0,271,1.0,<=>
114,BCV53_00145,AOT13_00140,100.0,235,0,0,1,235,1,235,3.4799999999999984e-176,480.0,235,1.0,<=>
117,BCV53_00150,AOT13_00145,100.0,108,0,0,1,108,1,108,3.96e-74,211.0,108,1.0,<=>
118,BCV53_00155,AOT13_00150,100.0,80,0,0,1,80,1,80,4.6100000000000007e-57,166.0,80,1.0,<=>
119,BCV53_00160,AOT13_00155,100.0,166,0,0,1,166,1,166,1.8899999999999993e-123,341.0,166,1.0,<=>
122,BCV53_00165,AOT13_00160,100.0,408,0,0,1,408,1,408,0.0,833.0,408,1.0,<=>
124,BCV53_00170,AOT13_00165,100.0,331,0,0,1,331,1,331,0.0,680.0,331,1.0,<=>
131,BCV53_00175,AOT13_00170,100.0,121,0,0,1,121,1,121,3.209999999999999e-89,251.0,121,1.0,<=>
132,BCV53_00180,AOT13_00175,100.0,285,0,0,1,285,1,285,0.0,584.0,285,1.0,<=>
133,BCV53_00185,AOT13_00180,100.0,80,0,0,1,80,1,80,3.1899999999999995e-55,162.0,80,1.0,<=>
135,BCV53_00190,AOT13_00185,100.0,357,0,0,1,357,1,357,0.0,732.0,357,1.0,<=>
137,BCV53_00195,AOT13_00190,100.0,60,0,0,1,60,1,60,5.54e-39,119.0,60,1.0,<=>
138,BCV53_00200,AOT13_00195,100.0,109,0,0,1,109,1,109,1.0099999999999998e-78,223.0,109,1.0,<=>
139,BCV53_00205,AOT13_00200,100.0,79,0,0,1,79,1,79,1.76e-51,152.0,79,1.0,<=>
141,BCV53_00210,AOT13_00205,100.0,305,0,0,1,305,1,305,0.0,622.0,305,1.0,<=>
143,BCV53_00215,AOT13_00210,100.0,354,0,0,1,354,1,354,0.0,721.0,354,1.0,<=>
152,BCV53_00220,AOT13_00215,100.0,434,0,0,1,434,1,434,0.0,880.0,434,1.0,<=>
153,BCV53_00225,AOT13_00220,100.0,327,0,0,1,327,1,327,0.0,672.0,327,1.0,<=>
157,BCV53_00230,AOT13_00225,100.0,335,0,0,1,335,1,335,0.0,696.0,335,1.0,<=>
158,BCV53_00235,AOT13_00230,100.0,166,0,0,1,166,1,166,9.379999999999997e-122,337.0,166,1.0,<=>
159,BCV53_00240,AOT13_00235,100.0,257,0,0,1,257,1,257,0.0,526.0,257,1.0,<=>
163,BCV53_00245,AOT13_00240,100.0,146,0,0,1,146,1,146,1.2699999999999997e-107,299.0,146,1.0,<=>
164,BCV53_00250,AOT13_00245,100.0,90,0,0,1,90,1,90,2.1e-61,178.0,90,1.0,<=>
165,BCV53_00255,AOT13_00250,100.0,87,0,0,1,87,1,87,7.319999999999999e-62,179.0,87,1.0,<=>
166,BCV53_00260,AOT13_00255,100.0,92,0,0,1,92,1,92,2.0499999999999995e-65,188.0,92,1.0,<=>
167,BCV53_00265,AOT13_00260,100.0,228,0,0,1,228,1,228,5.649999999999998e-172,469.0,228,1.0,<=>
168,BCV53_00270,AOT13_00265,100.0,299,0,0,1,299,1,299,0.0,620.0,299,1.0,<=>
171,BCV53_00275,AOT13_00270,100.0,337,0,0,1,337,1,337,0.0,693.0,337,1.0,<=>
172,BCV53_00280,AOT13_00275,100.0,236,0,0,1,236,1,236,6.609999999999999e-172,469.0,236,1.0,<=>
265,BCV53_00285,AOT13_00280,100.0,260,0,0,1,260,1,260,0.0,522.0,260,1.0,<=>
357,BCV53_00290,AOT13_00285,100.0,325,0,0,1,325,1,325,0.0,641.0,325,1.0,<=>
362,BCV53_00295,AOT13_00290,100.0,293,0,0,1,293,1,293,0.0,570.0,293,1.0,<=>
370,BCV53_00300,AOT13_00295,100.0,396,0,0,1,396,1,396,0.0,793.0,396,1.0,<=>
373,BCV53_00305,AOT13_00300,100.0,248,0,0,1,248,1,248,0.0,497.0,248,1.0,<=>
374,BCV53_00310,AOT13_00305,100.0,105,0,0,1,105,1,105,6.16e-73,208.0,105,1.0,<=>
375,BCV53_00315,AOT13_00310,100.0,464,0,0,1,464,1,464,0.0,960.0,464,1.0,<=>
377,BCV53_00320,AOT13_00315,100.0,274,0,0,1,274,1,274,0.0,529.0,274,1.0,<=>
379,BCV53_00325,AOT13_00320,100.0,283,0,0,1,283,1,283,0.0,593.0,283,1.0,<=>
380,BCV53_00330,AOT13_00325,100.0,466,0,0,1,466,1,466,0.0,968.0,466,1.0,<=>
382,BCV53_00335,AOT13_00330,100.0,146,0,0,1,146,1,146,5.439999999999999e-110,305.0,146,1.0,<=>
383,BCV53_00340,AOT13_00335,100.0,407,0,0,1,407,1,407,0.0,842.0,407,1.0,<=>
389,BCV53_00345,AOT13_00340,100.0,438,0,0,1,438,1,438,0.0,893.0,438,1.0,<=>
391,BCV53_00350,AOT13_00345,100.0,260,0,0,1,260,1,260,0.0,526.0,260,1.0,<=>
478,BCV53_00355,AOT13_00350,100.0,72,0,0,1,72,1,72,4.24e-48,143.0,72,1.0,<=>
479,BCV53_00360,AOT13_00355,100.0,97,0,0,1,97,1,97,8.989999999999999e-70,200.0,97,1.0,<=>
480,BCV53_00365,AOT13_00360,100.0,280,0,0,1,280,1,280,0.0,557.0,280,1.0,<=>
484,BCV53_00370,AOT13_00365,100.0,223,0,0,1,223,1,223,3.1599999999999996e-157,431.0,223,1.0,<=>
494,BCV53_00375,AOT13_00370,100.0,343,0,0,1,343,1,343,0.0,692.0,343,1.0,<=>
585,BCV53_00380,AOT13_00375,100.0,114,0,0,1,114,1,114,3.169999999999999e-80,228.0,114,1.0,<=>
586,BCV53_00385,AOT13_00380,100.0,107,0,0,1,107,1,107,1.2299999999999998e-77,220.0,107,1.0,<=>
589,BCV53_00390,AOT13_00385,100.0,117,0,0,1,117,1,117,9.459999999999999e-83,234.0,117,1.0,<=>
591,BCV53_00395,AOT13_00390,100.0,128,0,0,1,128,1,128,3.219999999999999e-90,254.0,128,1.0,<=>
592,BCV53_00400,AOT13_00395,100.0,121,0,0,1,121,1,121,9.279999999999997e-90,252.0,121,1.0,<=>
594,BCV53_00405,AOT13_00400,100.0,595,0,0,1,595,1,595,0.0,1207.0,595,1.0,<=>
608,BCV53_00410,AOT13_00405,100.0,391,0,0,1,391,1,391,0.0,788.0,391,1.0,<=>
613,BCV53_00415,AOT13_00410,100.0,795,0,0,1,795,1,795,0.0,1627.0,795,1.0,<=>
625,BCV53_00420,AOT13_00415,100.0,306,0,0,1,306,1,306,0.0,633.0,306,1.0,<=>
626,BCV53_00425,AOT13_00420,100.0,88,0,0,1,88,1,88,1.5199999999999999e-62,181.0,88,1.0,<=>
627,BCV53_00430,AOT13_00425,100.0,111,0,0,1,111,1,111,1.1199999999999997e-79,226.0,111,1.0,<=>
628,BCV53_00435,AOT13_00430,100.0,92,0,0,1,92,1,92,2.7799999999999996e-51,152.0,92,1.0,<=>
629,BCV53_00440,AOT13_00435,100.0,456,0,0,1,456,1,456,0.0,941.0,456,1.0,<=>
638,BCV53_00445,AOT13_00440,100.0,240,0,0,1,240,1,240,3.009999999999999e-179,488.0,240,1.0,<=>
640,BCV53_00450,AOT13_00445,100.0,188,0,0,1,188,1,188,6.029999999999998e-133,367.0,188,1.0,<=>
642,BCV53_00455,AOT13_00450,100.0,67,0,0,1,67,1,67,3.0199999999999996e-45,135.0,67,1.0,<=>
643,BCV53_00460,AOT13_00455,100.0,319,0,0,1,319,1,319,0.0,639.0,319,1.0,<=>
648,BCV53_00465,AOT13_00460,100.0,253,0,0,1,253,1,253,0.0,518.0,253,1.0,<=>
741,BCV53_00470,AOT13_00465,100.0,317,0,0,1,317,1,317,0.0,625.0,317,1.0,<=>
750,BCV53_00475,AOT13_00470,100.0,316,0,0,1,316,1,316,0.0,623.0,316,1.0,<=>
759,BCV53_00480,AOT13_00475,100.0,189,0,0,1,189,1,189,6.349999999999997e-135,372.0,189,1.0,<=>
766,BCV53_00485,AOT13_00480,100.0,249,0,0,1,249,1,249,0.0,499.0,249,1.0,<=>
859,BCV53_00490,AOT13_00485,100.0,259,0,0,1,259,1,259,0.0,523.0,259,1.0,<=>
952,BCV53_00495,AOT13_00490,100.0,355,0,0,1,355,1,355,0.0,702.0,355,1.0,<=>
956,BCV53_00500,AOT13_00495,100.0,294,0,0,1,294,1,294,0.0,567.0,294,1.0,<=>
962,BCV53_00505,AOT13_00500,100.0,390,0,0,1,390,1,390,0.0,791.0,390,1.0,<=>
964,BCV53_00510,AOT13_00505,100.0,215,0,0,1,215,1,215,2.1199999999999992e-160,438.0,215,1.0,<=>
966,BCV53_00515,AOT13_00510,100.0,505,0,0,1,505,1,505,0.0,1041.0,505,1.0,<=>
984,BCV53_00520,AOT13_00515,100.0,129,0,0,1,129,1,129,1.6799999999999995e-94,265.0,129,1.0,<=>
985,BCV53_00525,AOT13_00520,100.0,246,0,0,1,246,1,246,0.0,504.0,246,1.0,<=>
989,BCV53_00530,AOT13_00525,100.0,272,0,0,1,272,1,272,0.0,558.0,272,1.0,<=>
993,BCV53_00535,AOT13_00530,100.0,306,0,0,1,306,1,306,0.0,632.0,306,1.0,<=>
995,BCV53_00540,AOT13_00535,100.0,159,0,0,1,159,1,159,2.719999999999999e-118,327.0,159,1.0,<=>
998,BCV53_00545,AOT13_00540,100.0,328,0,0,1,328,1,328,0.0,686.0,328,1.0,<=>
1004,BCV53_00550,AOT13_00545,100.0,492,0,0,1,492,1,492,0.0,1033.0,492,1.0,<=>
1006,BCV53_00555,AOT13_00550,100.0,300,0,0,1,300,1,300,0.0,613.0,300,1.0,<=>
1010,BCV53_00560,AOT13_00555,100.0,489,0,0,1,489,1,489,0.0,1013.0,489,1.0,<=>
1011,BCV53_00565,AOT13_00560,100.0,299,0,0,1,299,1,299,0.0,619.0,299,1.0,<=>
1013,BCV53_00570,AOT13_00565,100.0,81,0,0,1,81,1,81,1.1699999999999999e-55,163.0,81,1.0,<=>
1014,BCV53_00575,AOT13_12745,84.29799999999999,121,18,1,43,162,141,261,1.9999999999999994e-71,213.0,178,0.6797752808988764,->
1023,BCV53_00580,AOT13_00575,100.0,83,0,0,1,83,1,83,2.7299999999999998e-55,162.0,83,1.0,<=>
1025,BCV53_00585,AOT13_00580,100.0,390,0,0,1,390,1,390,0.0,802.0,390,1.0,<=>
1034,BCV53_00590,AOT13_00585,100.0,155,0,0,1,155,1,155,9.519999999999997e-115,318.0,155,1.0,<=>
