,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,gene_0,gene_2001,100.0,182,0,0,1,182,1,182,4.089999999999999e-135,372.0,182,1.0,<=>
1,gene_1,gene_3510,99.14200000000001,466,4,0,1,466,1,466,0.0,969.0,466,1.0,<=>
14,gene_2,gene_2037,83.234,167,24,1,1,167,117,279,8.459999999999999e-72,220.0,231,0.7229437229437229,->
21,gene_6,gene_2475,44.048,84,46,1,14,96,59,142,2.01e-14,62.0,103,0.8155339805825242,->
25,gene_11,gene_2409,95.455,66,3,0,1,66,112,177,1.28e-42,139.0,72,0.9166666666666666,->
37,gene_14,gene_3483,26.994,163,105,5,15,165,605,765,5.5100000000000004e-05,42.4,510,0.3196078431372549,->
40,gene_18,gene_33,41.463,41,24,0,22,62,37,77,0.000166,36.2,132,0.3106060606060606,->
41,gene_19,gene_2572,30.0,50,35,0,14,63,8,57,2.8100000000000002e-05,36.6,67,0.746268656716418,->
42,gene_21,gene_683,91.93,285,23,0,1,285,1,285,0.0,541.0,288,0.9895833333333334,->
43,gene_22,gene_686,54.693000000000005,309,138,2,2,310,3,309,1.9199999999999996e-109,318.0,318,0.9716981132075472,->
44,gene_25,gene_702,50.0,146,73,0,3,148,1,146,1.2999999999999997e-51,158.0,159,0.9182389937106918,->
45,gene_26,gene_965,36.22,254,160,2,4,257,1,252,5.95e-53,169.0,257,0.9883268482490273,->
48,gene_27,gene_1877,90.90899999999999,77,7,0,1,77,1,77,2.96e-47,141.0,77,1.0,<=>
49,gene_28,gene_1876,100.0,214,0,0,1,214,1,214,1.2799999999999996e-158,434.0,214,1.0,<=>
54,gene_29,gene_1875,100.0,102,0,0,1,102,1,102,1.2499999999999996e-72,207.0,102,1.0,<=>
55,gene_30,gene_1874,100.0,208,0,0,1,208,1,208,3.4099999999999984e-154,422.0,208,1.0,<=>
56,gene_31,gene_822,73.684,114,30,0,170,283,1,114,4.82e-61,186.0,293,0.3890784982935154,->
62,gene_32,gene_1087,89.09100000000001,55,5,1,1,55,1,54,1.39e-28,98.2,117,0.4700854700854701,->
65,gene_36,gene_3731,28.523000000000003,298,192,7,2,296,32,311,1.06e-21,90.1,302,0.9867549668874173,->
69,gene_38,gene_2973,38.506,174,103,3,1,171,1,173,1.37e-30,107.0,204,0.8529411764705882,->
72,gene_42,gene_1473,97.08,137,4,0,8,144,226,362,2.54e-93,271.0,144,0.9513888888888888,->
73,gene_43,gene_1474,100.0,70,0,0,1,70,1,70,1.5699999999999998e-46,139.0,70,1.0,<=>
74,gene_44,gene_1475,100.0,308,0,0,1,308,1,308,0.0,619.0,308,1.0,<=>
79,gene_45,gene_1476,99.25399999999999,134,1,0,1,134,1,134,1.1399999999999997e-92,261.0,134,1.0,<=>
81,gene_46,gene_1477,99.167,120,1,0,1,120,1,120,2.16e-80,228.0,120,1.0,<=>
83,gene_47,gene_1478,99.602,251,1,0,1,251,1,251,0.0,509.0,251,1.0,<=>
84,gene_48,gene_1479,99.306,144,1,0,1,144,1,144,9.319999999999998e-100,279.0,144,1.0,<=>
85,gene_49,gene_1480,99.23100000000001,390,3,0,1,390,1,390,0.0,803.0,390,1.0,<=>
89,gene_50,gene_1481,99.63600000000001,275,1,0,1,275,1,275,0.0,572.0,275,1.0,<=>
90,gene_51,gene_1482,99.73100000000001,372,1,0,1,372,1,372,0.0,763.0,372,1.0,<=>
92,gene_52,gene_1483,99.416,514,3,0,1,514,1,514,0.0,996.0,514,1.0,<=>
96,gene_53,gene_1484,100.0,114,0,0,1,114,1,114,6.929999999999999e-82,232.0,114,1.0,<=>
97,gene_54,gene_1485,100.0,472,0,0,1,472,1,472,0.0,940.0,472,1.0,<=>
110,gene_55,gene_1486,100.0,246,0,0,1,246,1,246,0.0,501.0,246,1.0,<=>
114,gene_56,gene_1487,98.26299999999999,403,4,1,1,400,1,403,0.0,803.0,400,1.0075,<=>
115,gene_57,gene_1488,100.0,70,0,0,1,70,1,70,1.6699999999999998e-45,136.0,70,1.0,<=>
118,gene_58,gene_1489,99.41,339,2,0,1,339,1,339,0.0,690.0,339,1.0,<=>
134,gene_59,gene_1490,99.714,700,2,0,1,700,1,700,0.0,1449.0,700,1.0,<=>
135,gene_60,gene_1491,100.0,422,0,0,1,422,1,422,0.0,856.0,422,1.0,<=>
143,gene_61,gene_1492,100.0,295,0,0,1,295,1,295,0.0,592.0,295,1.0,<=>
153,gene_62,gene_1493,99.63799999999999,276,1,0,1,276,1,276,0.0,545.0,276,1.0,<=>
164,gene_63,gene_1494,99.072,539,5,0,1,539,1,539,0.0,1115.0,539,1.0,<=>
172,gene_64,gene_1495,99.51799999999999,415,2,0,1,415,1,415,0.0,811.0,415,1.0,<=>
183,gene_65,gene_1496,100.0,53,0,0,1,53,1,53,1.8499999999999997e-33,105.0,53,1.0,<=>
184,gene_66,gene_1497,100.0,54,0,0,1,54,1,54,1.02e-34,108.0,54,1.0,<=>
185,gene_67,gene_1498,100.0,53,0,0,1,53,1,53,5.96e-34,106.0,53,1.0,<=>
186,gene_68,gene_1499,99.831,591,1,0,1,591,1,591,0.0,1219.0,591,1.0,<=>
190,gene_69,gene_1500,98.571,70,1,0,1,70,1,70,5.159999999999999e-42,141.0,82,0.8536585365853658,->
192,gene_70,gene_1500,99.851,669,1,0,1,669,77,745,0.0,1371.0,669,1.0,<=>
223,gene_71,gene_1501,100.0,165,0,0,1,165,1,165,6.549999999999998e-124,342.0,165,1.0,<=>
225,gene_72,gene_1502,100.0,337,0,0,1,337,1,337,0.0,656.0,337,1.0,<=>
229,gene_73,gene_1503,99.031,516,5,0,1,516,1,516,0.0,1046.0,516,1.0,<=>
