,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,gene_0,gene_1665,100.0,313,0,0,1,313,175,487,0.0,638.0,313,1.0,->
17,gene_1,gene_1664,100.0,68,0,0,1,68,188,255,2.6e-41,131.0,68,1.0,->
18,gene_2,gene_1664,100.0,141,0,0,1,141,1,141,2.4999999999999993e-104,295.0,146,0.9657534246575342,<=>
21,gene_3,gene_1663,100.0,79,0,0,1,79,1,79,1.6199999999999998e-54,167.0,81,0.9753086419753086,<=>
22,gene_4,gene_1663,99.415,171,1,0,1,171,84,254,7.659999999999998e-127,355.0,172,0.9941860465116279,->
23,gene_5,gene_1662,100.0,86,0,0,1,86,1,86,9.719999999999997e-61,176.0,86,1.0,->
24,gene_6,gene_1661,100.0,163,0,0,1,163,1,163,2.189999999999999e-121,335.0,163,1.0,->
26,gene_7,gene_1660,100.0,393,0,0,1,393,1,393,0.0,775.0,393,1.0,<=>
40,gene_8,gene_1659,99.29899999999999,428,3,0,1,428,1,428,0.0,830.0,428,1.0,<=>
42,gene_9,gene_1658,100.0,62,0,0,1,62,1,62,8.459999999999999e-42,126.0,62,1.0,->
43,gene_10,gene_1657,100.0,332,0,0,1,332,1,332,0.0,676.0,332,1.0,<=>
44,gene_11,gene_1656,100.0,135,0,0,1,135,1,135,1.0899999999999997e-98,276.0,135,1.0,<=>
46,gene_13,gene_1655,100.0,450,0,0,1,450,1,450,0.0,920.0,450,1.0,<=>
47,gene_14,gene_1654,100.0,388,0,0,1,388,35,422,0.0,804.0,388,1.0,->
57,gene_15,gene_1653,100.0,78,0,0,1,78,1,78,6.07e-51,150.0,78,1.0,->
58,gene_16,gene_1652,100.0,122,0,0,1,122,1,122,4.679999999999998e-87,245.0,122,1.0,->
66,gene_17,gene_1651,100.0,391,0,0,1,391,1,391,0.0,802.0,391,1.0,<=>
80,gene_18,gene_1650,100.0,167,0,0,1,167,1,167,1.1799999999999996e-120,334.0,167,1.0,<=>
82,gene_19,gene_1649,97.59,83,2,0,1,83,1,83,3.51e-58,169.0,83,1.0,<=>
83,gene_20,gene_1648,100.0,387,0,0,1,387,1,387,0.0,799.0,387,1.0,<=>
90,gene_21,gene_1647,98.286,175,3,0,1,175,1,175,1.36e-125,347.0,175,1.0,<=>
91,gene_22,gene_1646,100.0,68,0,0,1,68,1,68,2.47e-45,136.0,68,1.0,<=>
92,gene_23,gene_1645,100.0,208,0,0,1,208,1,208,5.039999999999999e-159,434.0,208,1.0,<=>
94,gene_24,gene_1644,100.0,443,0,0,1,443,1,443,0.0,875.0,443,1.0,<=>
95,gene_25,gene_1643,100.0,203,0,0,1,203,1,203,5.449999999999999e-146,401.0,203,1.0,<=>
97,gene_26,gene_1642,100.0,333,0,0,1,333,1,333,0.0,654.0,333,1.0,<=>
98,gene_27,gene_1641,100.0,207,0,0,1,207,1,207,1.0399999999999997e-151,416.0,207,1.0,<=>
99,gene_28,gene_1640,100.0,498,0,0,1,498,1,498,0.0,1013.0,498,1.0,<=>
100,gene_29,gene_1639,100.0,272,0,0,1,272,1,272,0.0,554.0,272,1.0,<=>
102,gene_30,gene_1638,100.0,235,0,0,1,235,1,235,3.4799999999999984e-176,480.0,235,1.0,<=>
105,gene_31,gene_1637,100.0,108,0,0,1,108,1,108,3.969999999999999e-74,211.0,108,1.0,<=>
106,gene_32,gene_1636,98.182,55,1,0,1,55,1,55,1.92e-36,112.0,55,1.0,<=>
107,gene_33,gene_1635,99.375,160,1,0,1,160,1,160,1.3899999999999998e-118,328.0,166,0.963855421686747,<=>
111,gene_34,gene_1634,100.0,408,0,0,1,408,1,408,0.0,833.0,408,1.0,<=>
113,gene_35,gene_1633,99.698,331,1,0,1,331,1,331,0.0,677.0,331,1.0,<=>
120,gene_36,gene_1632,100.0,121,0,0,1,121,1,121,3.209999999999999e-89,251.0,121,1.0,<=>
121,gene_37,gene_1631,100.0,285,0,0,1,285,1,285,0.0,584.0,285,1.0,<=>
122,gene_38,gene_1630,100.0,80,0,0,1,80,1,80,3.2e-55,162.0,80,1.0,<=>
124,gene_39,gene_1629,100.0,32,0,0,1,32,1,32,1.26e-19,68.9,32,1.0,<=>
125,gene_40,gene_1628,99.72,357,1,0,1,357,1,357,0.0,729.0,357,1.0,<=>
127,gene_41,gene_1627,86.441,59,8,0,1,59,1,59,7.13e-23,79.7,60,0.9833333333333333,<=>
128,gene_42,gene_1626,100.0,109,0,0,1,109,1,109,1.0099999999999998e-78,223.0,109,1.0,<=>
129,gene_43,gene_1625,100.0,79,0,0,1,79,1,79,1.7699999999999997e-51,152.0,79,1.0,<=>
131,gene_44,gene_1624,100.0,305,0,0,1,305,1,305,0.0,622.0,305,1.0,<=>
133,gene_45,gene_1623,99.71799999999999,354,1,0,1,354,1,354,0.0,719.0,354,1.0,<=>
142,gene_46,gene_1622,100.0,434,0,0,1,434,1,434,0.0,880.0,434,1.0,<=>
143,gene_47,gene_1621,100.0,327,0,0,1,327,1,327,0.0,672.0,327,1.0,<=>
147,gene_48,gene_1620,100.0,335,0,0,1,335,1,335,0.0,696.0,335,1.0,<=>
148,gene_49,gene_1619,100.0,161,0,0,1,161,1,161,1.4399999999999999e-117,326.0,161,1.0,<=>
149,gene_50,gene_1618,100.0,258,0,0,1,258,1,258,0.0,528.0,258,1.0,<=>
151,gene_51,gene_1617,100.0,146,0,0,1,146,1,146,1.2699999999999997e-107,299.0,146,1.0,<=>
152,gene_52,gene_1616,100.0,90,0,0,1,90,1,90,2.1e-61,178.0,90,1.0,<=>
153,gene_53,gene_1615,100.0,87,0,0,1,87,1,87,7.329999999999999e-62,179.0,87,1.0,<=>
154,gene_54,gene_1614,100.0,92,0,0,1,92,1,92,2.0499999999999995e-65,188.0,92,1.0,<=>
155,gene_55,gene_1613,99.561,228,1,0,1,228,1,228,2.869999999999999e-171,467.0,228,1.0,<=>
156,gene_56,gene_1612,100.0,299,0,0,1,299,1,299,0.0,620.0,299,1.0,<=>
