,Lactate production (mol/mol),lactate yield (g/g),Growth rate,Yield
0,0.0,0.0,0.09302651893039104,0.05163664764448092
1,0.05,0.025000555074490997,0.09302651893038817,0.05163664764447932
2,0.1,0.050001110148981995,0.09302651893038817,0.05163664764447932
3,0.15,0.07500166522347297,0.09302651893038817,0.05163664764447932
4,0.2,0.10000222029796399,0.09302651893038996,0.05163664764448031
5,0.25,0.12500277537245497,0.09302651893038996,0.05163664764448031
6,0.3,0.15000333044694594,0.09302651893038996,0.05163664764448031
7,0.35,0.17500388552143692,0.09302651893038971,0.05163664764448018
8,0.4,0.20000444059592798,0.09302651892507795,0.05163664764153175
9,0.45,0.22500499567041893,0.09302651893038937,0.051636647644479984
10,0.5,0.25000555074490993,0.09302651893038956,0.05163664764448009
11,0.55,0.27500610581940094,0.09302651893038956,0.05163664764448009
12,0.6,0.3000066608938919,0.09302651893038956,0.05163664764448009
13,0.65,0.32500721596838295,0.09302651893038814,0.05163664764447931
14,0.7,0.35000777104287384,0.09302651893038573,0.051636647644477965
15,0.75,0.3750083261173649,0.0930265189303866,0.05163664764447845
16,0.8,0.40000888119185596,0.09302651893038694,0.05163664764447864
17,0.85,0.4250094362663469,0.09302651893038755,0.05163664764447897
18,0.9,0.45000999134083786,0.09302651893038687,0.051636647644478596
19,0.95,0.4750105464153288,0.09302651893038741,0.051636647644478895
20,1.0,0.5000111014898199,0.09302651893038755,0.05163664764447897
21,1.05,0.5250116565643109,0.09271449639579811,0.05146345189491224
22,1.1,0.5500122116388019,0.09174843469049597,0.05092721568557026
23,1.15,0.5750127667132928,0.0907823729840139,0.05039097947557333
24,1.2,0.6000133217877838,0.08981631127812452,0.04985474326590539
25,1.25,0.6250138768622748,0.08885024957222372,0.049318507056231115
26,1.3,0.6500144319367659,0.08788418786632902,0.04878227084656021
27,1.35,0.6750149870112568,0.08691812616043416,0.04824603463688923
28,1.4,0.7000155420857477,0.07420608059500348,0.04118990241513104
29,1.45,0.7250160971602387,0.03444643319006159,0.019120336369624985
30,1.5,0.7500166522347298,0.0,0.0
31,1.55,0.7750172073092209,0.0,0.0
32,1.6,0.8000177623837119,0.0,0.0
33,1.65,0.8250183174582028,0.0,0.0
34,1.7,0.8500188725326938,0.0,0.0
35,1.75,0.8750194276071849,0.0,0.0
36,1.8,0.9000199826816757,0.0,0.0
37,1.85,0.9250205377561668,0.0,0.0
38,1.9,0.9500210928306576,0.0,0.0
39,1.95,0.9750216479051487,0.0,0.0
40,2.0,1.0000222029796397,0.0,0.0
